topic_id,topic_keywords,sentence,stars,sentiment,sentiment_conf,date
-1,,the atmosphere is always amazing.,5.0,1,0.9998925924301147,2021-10-26 02:29:57
1,"service, server, food, jerry, staff",The place is very clean and the air feels AMAZING!,5.0,1,0.999892234802246,2020-06-23 19:03:22
-1,,Besides that everything else is amazing.,5.0,1,0.9998912811279296,2020-02-26 05:17:12
-1,,So many great drinks and delicious food options.,5.0,1,0.9998903274536132,2021-10-12 18:04:58
0,"french, toast, eggs, french toast, breakfast",And just a note about the biscuits there: they are buttery and delicious and just overall amazing!,4.0,1,0.9998903274536132,2019-06-07 16:26:12
1,"service, server, food, jerry, staff","Great food, great drinks, great service, great time.",5.0,1,0.9998903274536132,2020-02-16 20:02:07
0,"french, toast, eggs, french toast, breakfast",The food was fantastic - as always!,5.0,1,0.9998894929885864,2020-02-29 18:47:23
7,"experience, great experience, experience good, thank, good",was very funny and entertaining.,5.0,1,0.9998890161514282,2020-10-20 19:42:09
-1,,"Affordable, delicious, and generous portions!",5.0,1,0.9998887777328492,2019-04-22 15:36:08
0,"french, toast, eggs, french toast, breakfast",Their breakfast is amazing and the service is always great.,5.0,1,0.9998884201049804,2020-01-04 19:01:32
0,"french, toast, eggs, french toast, breakfast",Love how hearty and greatly flavored theb French toast is.,5.0,1,0.9998881816864014,2021-06-20 02:02:07
1,"service, server, food, jerry, staff",Great food and great service !,5.0,1,0.9998878240585328,2019-09-28 14:01:39
0,"french, toast, eggs, french toast, breakfast",Everyone was so friendly and the food was delicious!,5.0,1,0.999887466430664,2019-04-18 17:23:30
7,"experience, great experience, experience good, thank, good",It was so light and refreshing.,4.0,1,0.999887466430664,2020-03-18 18:21:54
1,"service, server, food, jerry, staff",Liz is AMAZING and the food was so delicious!!,5.0,1,0.9998873472213744,2019-09-20 17:38:09
2,"parking, location, new, new orleans, orleans",I absolutely love this place!,5.0,1,0.999887228012085,2021-10-12 18:04:58
1,"service, server, food, jerry, staff","Very friendly service, pleasant surroundings, and wonderful food.",4.0,1,0.9998871088027954,2019-07-07 02:26:26
-1,,Absolutely delicious & happy to have them in the neighborhood!,4.0,1,0.9998867511749268,2020-03-08 14:02:59
7,"experience, great experience, experience good, thank, good",You will be happy with your experience.,5.0,1,0.9998866319656372,2021-11-21 17:12:12
2,"parking, location, new, new orleans, orleans",The outdoor seating was wonderful!!,5.0,1,0.999885320663452,2021-03-09 17:10:50
7,"experience, great experience, experience good, thank, good",This was a wonderful experience.,5.0,1,0.999884843826294,2019-08-03 18:20:53
4,"ruby, slipper, ruby slipper, brunch, metairie",This Ruby Slipper is wonderful!,5.0,1,0.9998832941055298,2020-09-26 17:33:39
2,"parking, location, new, new orleans, orleans",Such a cute New Orleans gem!,4.0,1,0.999882698059082,2019-06-12 01:53:33
2,"parking, location, new, new orleans, orleans",This place was absolutely amazing!,5.0,1,0.9998812675476074,2021-06-14 15:33:42
2,"parking, location, new, new orleans, orleans",We love this new location in Metairie!,5.0,1,0.9998810291290284,2020-07-11 14:26:15
7,"experience, great experience, experience good, thank, good",We went for a little preview and thoroughly enjoyed it.,5.0,1,0.9998809099197388,2019-04-01 04:11:40
8,"menu, options, things, things menu, menus",I also love their rewards program and their use of payment technology-very efficient!,5.0,1,0.9998788833618164,2020-03-01 21:31:27
4,"ruby, slipper, ruby slipper, brunch, metairie",Don't get me wrong - every Ruby Slipper I've visited has been wonderful.,5.0,1,0.9998772144317628,2020-09-26 17:33:39
4,"ruby, slipper, ruby slipper, brunch, metairie","I completely enjoyed my brunch here and will
Always recommend this place!",5.0,1,0.999876856803894,2021-11-08 00:58:41
8,"menu, options, things, things menu, menus",The menu is quite impressive.,5.0,1,0.9998767375946044,2019-04-18 13:44:37
3,"wait, yelp, waitlist, table, minutes",We sat at the bar & our bartender was amazing.,5.0,1,0.999874234199524,2019-07-29 04:18:14
4,"ruby, slipper, ruby slipper, brunch, metairie",Thank you and the Ruby Slipper Cafe staff for the awesome breakfast and brunch!,5.0,1,0.9998732805252076,2021-11-11 15:33:47
4,"ruby, slipper, ruby slipper, brunch, metairie",Thank you to The Ruby Slipper and thank you to Christie for providing us with such a positive dining experience.,5.0,1,0.999873161315918,2021-12-30 17:26:29
5,"definitely, soon, wait, ll, return",So far I've loved them all.,5.0,1,0.9998725652694702,2020-02-26 05:17:12
3,"wait, yelp, waitlist, table, minutes",Its very crowded so be prepared to wait but the food and service is definitely worth it!,5.0,1,0.9998568296432496,2020-02-09 03:59:11
3,"wait, yelp, waitlist, table, minutes",i loved to see how the managers actually check with the tables and make sure your time is great as well!,5.0,1,0.9998548030853271,2021-10-26 02:29:57
8,"menu, options, things, things menu, menus",They have a great food menu and drink menu.,4.0,1,0.9998447895050048,2021-01-19 23:08:31
